abandon   v.放弃
no  ad. 不，不是 a.没有，无，不 
noble  a. 高贵的，贵族的 
nobody  n. 渺小人物
nod   vi. 点头 
noise   n. 声音，噪声，喧闹声 
noisily  ad. 喧闹地 
noisy   a. 喧闹的，嘈杂的 
none   pron. 无任何东西或人，无一人 
noodle   n. 面条 
noon   n. 中午，正午 
nor   conj. 也不 
normal   n.& a. 正常的（状态） 
north   a. 北的；朝北的 
northeast  n. 东北（部） 
northern  a. 北方的，北部的 
nose   n. 鼻 
not   ad. 不，没 
note   n. 便条，笔记，
notebook  n. 笔记簿 
nothing  n. 没有东西 
notice  n. 布告，通告；注意 vt. 注意 
novel  n. （长篇）小说 
novelist  n. 小说家 
November  n. 11月 
now  ad. 现在 
nowadays  ad. 当今，现在 
nowhere   ad. 任何地方都不； 无处 
nuclear  a. 原子核的，原子能的 
number  n. 数，数字，号码；数量 
nurse  n. 护士；保育员 
nursery   n. 托儿所 
nursing   n. （职业性的）保育，护理 
nut   n. 坚果，坚果仁（胡桃，栗子等） 
nutrition  n.营养
o'clock  n. 点钟 
obey  v. 服从，顺从，听从 
object  n. 物，物体；宾语 
observe  v. 观察，监视，观测 
obtain  vt. 获得；得到
obvious  a. 显然 
occupation  n. 职业，工作 
occupy  v.占领
occur  vi. 发生 
ocean  n. 海洋 
October  n. 10月 
of  prep.(表所属,数量,) ….的
off  prep. 离开,脱离,（走）开
offer  n.& vt. 提供；建议 
office  n. 办公室 
officer  n. 军官;公务员,警官 
official  n.（公司、政府)官员 a.官方的  
often  ad. 经常，常常 
oh  int. 哦！啊！ 
oil  n. 油  
old  a. 老的，旧的 
Olympic(s)  a. & n. 奥林匹克
on  prep. 在…上（时），关于 
once  n.& ad. 一次, conj. 一旦 
one  pron. 一(pl. ones) 
oneself  pron. 自己；自身 
onion  n. 洋葱；洋葱头 
only  a. 惟一的，仅有的 ad. 仅仅
onto  prep. 到…的上面 
open  a.开着的,开的 vt.开,打开 
opening  n. 开放，口子 
opera  n. 歌剧 
operate  v. 做手术，运转；实施，经营
operation  n. 手术，操作 
operator  n. 接线员 
opinion  n. 看法，见解 
oppose  vt. 反对；反抗 
opposite  n. 相反，对面 a. 对面的 
optimistic  a. 乐观的
optional  a. 可选择的，选修的
or  conj. 或；就是；否则 
oral  a. 口述的，口头上的 
orange  n. 橘子，a. 橘色的，橙色的 
orbit  n.（天体等的）运行轨道 
order  n. 顺序 
order  vt. 定购，定货；点菜 
ordinary  a. 普通的，平常的 
organ  n. （人，动物）器官
organise vt. 组织 
organization  n. 组织，机构 
origin  n. 起源，由来 
other pron. 别人，a. 别的,另外的 
otherwise  ad.要不然,否则,另样 
Ottawa  n. 渥太华 
ouch int（突然受痛时叫声）哎哟 
ought  v.& aux.应该，应当 
our  pron.我们的 
ours  pron.我们的 
ourselves  pron. 我们自己 
out  ad. 出外;在外,向外;熄 
outcome  n. 结果，效果
outdoors  ad. 在户外, 在野外 
outer  a. 外部的，外面的 
outgoing  a. 爱交际的,外向的
outing  n. 郊游，远足 
outline  n. 概述，略述
output  n. 产量，输出量
outside  n. 外面 ad. 在外面  
outstanding  a. 优秀的，杰出的
over prep. 在…上方,遍及 ad. ,结束 
overcoat  n. 大衣 
overcome  v. 克服，解决 
overlook  v. 忽略,不予理会
owe  vt. 欠（债等） 
own  a. 自己的 v. 拥有,所有 
owner  n. 物主，所有人 
ownership  n. 所有制 
ox  n. 牛；公牛 
oxygen  n. 氧；氧气 
pace   n. 步子；节奏 
Pacific   a. 太平洋的 
pack   n. 包，捆； 
package  n. 一包，一袋，一盒 
packet  n. 小包裹，袋 
page  n. 页，页码 
pain   n. 疼痛，疼 
painful  a. 使痛的，使痛苦的 
paint   n. 油漆 vt. 油漆，粉刷，绘画 
painter   n. 绘画者，（油）画家 
painting   n. 油画，水彩画 
pair  n. 一双，一对 
palace  n. 宫，宫殿 
pale  a. 苍白的，灰白的 
pan  n. 平底锅 
panda  n. 熊猫 
panic  n.惊慌
paper  n. 纸；报纸 
paperwork  n. 日常文书工作
paragraph   n. （文章的）段落 
parcel  n. 包裹 
pardon  n. 原谅，宽恕，对不起 
parent  n. 父(母)，双亲 
Paris  n. 巴黎 
park  n. 公园 
park  vt. 停放（汽车） 
parking  n. 停车 
parrot  n. 鹦鹉 
part  n. 部分；角色；部件；零件
participate  v.参加
particular  a. 特殊的，个别的 
partly   ad. 部分地，在一定程度上 
partner  n. 搭档，合作者 
Part-time  a.& ad. 兼职的 
party  n. 聚会，晚会；党派 
pass  vt. 传，递；经过；通过 
passage   n.（文章等的）一段；走廊 
passenger  n. 乘客，旅客 
Passer-by  n. 过客，过路人 
passive  a. 被动的 
passport   n. 护照 
past  ad. 过 n. 过去，昔日 
path   n. 小道，小径 
patience  n. 容忍； 耐心 
patient  n. 病人 
pattern  n. 式样 
pause   n.& vi. 中止，暂停；停止 
pavement  n.人行道
pay  v. 付钱，n. 工资 
physical education n. 体育 
personal computer n. 个人电脑 
pea  n. 豌豆 
peace   n. 和平 
peaceful  a. 和平的，安宁的 
peach  n. 桃子 
pear  n. 梨子，梨树 
peasant  n. 农民；佃农 
pen  n. 钢笔，笔 
pencil  n. 铅笔 
penny (英复pence) n. （英）便士
pension  n. 养老金 
people  n. 人，人们；人民 
pepper  n. 胡椒粉 
per  prep. 每，每一 
percent n. 百分之…… 
percentage  n. 百分率 
perfect  a. 完美的，极好的 
perform  v. 表演，履行；行动 
performance  n. 演出，表演 
performer  n. 表演者，执行者 
perfume  n.香味，香料
perhaps   ad. 可能，或 
period   n. 时期，时代 
permanent  a.永久的
permission  n. 允许，许可，同意 
permit  vt. 允许；执照 n. 许可证 
person  n. 人 
personal  a. 个人的，私人的 
personally  ad. 就自己而言 
personnel  n.人员，职员
persuade   vt. 说服，劝说 
pet  n. 宠物，爱畜 
petrol  n. 石油 
Phenomenon  n.现象
phone = telephone v. 打电话 n. 电话
photo =photographn. 照片
physical  a. 身体的；物理的 
physician  n. (内科)医生 
physicist  n. 物理学家 
physics  n. 物理（学） 
pianist  n. 钢琴家 
piano  n. 钢琴 
pick  v. 拾起，采集；挑选 
picnic  n.& v. 野餐 
picture  n. 图片，画片，照片 
pie  n. 甜馅饼 
piece  n. 一块（片，张，件……） 
pig  n. 猪 
pile  n. 堆 
pill  n. 药丸，药片 
pillow  n. 枕头 
pilot  n. 飞行员 
pin  n. 别针 v. 别住, 钉住 
pine  n . 松树 
pineapple  n. 菠萝 
pink  a. 粉红色的 
pioneer  n. 先锋，开拓者 
pipe  n. 管子，输送管 
pity  n. 怜悯，同情 
place  n. 地方，处所 v. 放置，安置
plain  a. 家常的； 普通的 
plan  n.& v. 计划，打算 
plane  n. 飞机 
planet  n. 行星 
plant  vt. 种植，播种 n. 植物 
plastic  a. 塑料的 
plate  n. 板；片；牌；盘子；盆子 
platform  n. 讲台；（车站的）月台 
play  v. 玩；游戏；播放 n. 玩耍，戏剧 
player  n. 比赛者，选手 
playground  n. 操场，运动场 
pleasant  a. 令人愉快的，舒适的
please  v. 请；使人高兴，使人满意 
pleased  a. 高兴的 
pleasure  n. 高兴，愉快 
plenty  n. 充足，大量 
plot  n.情节
plug  n. 塞子 
plus   vt. prep.把……塞住 ，加
pocket  n. （衣服的）口袋 
poem  n. 诗 
poet  n. 诗人
point  v. 指，指向 n. 点； 分数 
poison  n. 毒药 
pole  n. 杆，电线杆； 
the North (South)极，北（南）极 
police  n. 警察，警务人员 
policy   n.政策
polite  a. 有礼貌的，有教养的 
political  a. 政治的 
politician  n. 政治家 
politics  n. 政治 
pollute  vt. 污染 
pollution  n. 污染 
pond   n. 池塘 
pool   n. 水塘，水池 
poor  a. 贫穷的；可怜的；差的 
popular  a. 流行的，受欢迎的 
population  n. 人口，人数 
pork   n. 猪肉 
port  n. 港口，码头 
porter   n. 搬运工 
position  n. 位置 
possess  vt. 占有； 拥有 
possession  n. 所有，拥有；财产 
possibility  n.. 可能，可能性 
possible  a. 可能的 
possibly  ad. 可能地，也许 
post  n. 邮寄，邮件 v. 邮寄 
postage  n. 邮费 
postcard  n. 明信片 
postman  n. 邮递员 
postpone  vt. 推迟，延期 
pot  n. 锅，壶，瓶，罐 
potato  n. 土豆，马铃薯 
potential  a,有潜力的
pound   n. 磅；英镑 
pour  vi. 倾泻，不断流出 
powder  n. 粉，粉末 
power  n. 力，动力，电力 
powerful  a. 强有力的，强大的 
practical  a. 实际的，适用的 
practice  n. 练习 
practise v. 练习，实践 
praise n.& vt. 赞扬，表扬 
pray  v. 祈祷； 祈求 
prayer  n. 祈祷 
precious  a. 宝贵的, 珍贵的 
precise    a.精确的
predict    v.预测
prefer  vt. 宁愿（选择），更喜欢 
preference  n. 选择，趋向 
pregnant    a. 怀孕的，重要的
prejudice    n.偏见
premier   a.首要的，n.总理
preparation  n. 准备 
prepare  vt. 准备, 预备
prescription  n. 处方，药方 
present  a. 出现的，出席的 
present  n. 礼物，vt. 呈奉，奉送 
presentation  n. 演示，演出 
preserve  v.保护，保持
president  n. 总统；主席 
press  vt. 压，按 n.出版社 
pressure  n. 压迫，压力，压强 
pretend  vi. 假装，装作 
pretty  a. 漂亮的，俊俏的 
prevent  vt. 防止, 预防 
primitive  a. 原始的，远古的
principle  n.法则，原则
previous  a.早先的，先前的
preview  vt. 预习；试演；预展 
price  n. 价格，价钱 
pride  n. 自豪，骄傲 
primary  a. 初等的；初级的 
print  vt. 印刷 
printer  n. 打印机 
prison  n. 监狱 
prisoner  n. 囚犯 
private  a. 私人的 
Privilege  n.特权
prize  n. 奖赏，奖品 
probably  ad. 很可能，大概 
problem  n. 问题，难题 
procedure   n.程序
process  n.过程，步骤
produce  vt. 生产；制造 
production  n. 生产；制造 
profession  n. 职业
professor  n. 教授 
profit    n,利润，益处
programme  n. 节目
progress  n. 进步， vi. 进展
Prohibit  v.禁止，阻止
project  n. 工程 
promise  n.& vi. 答应，允诺 
promote  v.促进，发扬
pronounce  vt. 发音 
pronunciation  n. 发音 
proper  a. 恰当的，合适的
protect  vt. 保护
protection  n. 保护 
proud  a. 自豪的； 骄傲的 
prove  vt. 证明 
provide  vt. 提供
province  n. 省 
psychology  n.心理学
pub  n. 酒店，酒吧 
public  a. 公共的n. 公众 
publish  vt. 出版，发行 
pull  v. 拉，拖 n. 拉力，引力 
pump  vt. 用泵抽水 
punctual  a. 准时的 
punctuation  n. 标点符号 
punish  v. 惩罚，处罚 
punishment  n. 惩罚 
pupil  n. （小）学生 
purchase  v.买，购买
purple  a.紫色的
pure  a. 纯的, 不掺杂的 
purpose  n. 目的，意图 
purse  n. 钱包 
push  n.& v. 推 
put  vt. 放，摆 
puzzle  n. 难题，（字、画）谜 
puzzled  a. 迷惑的，困惑的 
pyramid  n. 角锥形，金字塔 
quake  n.& v. 震动，颤抖 
qualification  n.资格，条件
quality  n. 质量，性质 
quantity  n. 量，数 
quarrel  vi. 争吵，吵架 
quarter  n. 四分之一，一刻钟 
queen  n. 皇后，女王 
question  vt. 询问 n. 问题 
questionnaire   n.问卷
queue  n. 行列，长队 
quick  a. 快；敏捷的； 
quiet  a. 安静的；寂静的 
quilt  n. 被子；被状物 
quite  ad. 完全，十分 
quiz  n. 测验，小型考试 
rabbit  n. 兔，家兔 
race  n. 种族，民族 
race  v. （速度）竞赛，
racial  a. 种族的 
radiation  n. 放射，放射物 
radio  n. 无线电，收音机 
radioactive  a. 放射性的 
rag  n. 破布，抹布 
rail  n. 铁路 
railway  n. 铁路；铁道 
rain  n. 雨，雨水 vi. 下雨 
rainbow  n. 虹，彩虹 
raincoat  n. 雨衣 
rainfall  n. 一场雨； 降雨量 
rainy  a. 下雨的；多雨的 
raise  vt. 使升高； 饲养 
range  n.范围v.排列
rank  n. 职衔，军衔 
rapid  a. 快的，迅速的 
rare  a. 罕见的，稀有的 
rat  n. 老鼠 
rate  n.比率，速度
rather  ad. 相当，宁可 
raw  a. 生的，未煮过的，未加工的 
ray  n. 光辉，光线 
razor  n. 剃须刀 
reach  v. 到达，伸手（脚等）够到 
read  v. 读；朗读 
ready  a. 准备好的 
real  a. 真实的，确实的 
reality  n. 现实 
realise  vt. 认识到，实现 
really  ad. 真正地；到底；确实 
reason  vi. 评理； 劝说 n. 理由，原因 
reasonable  a. 合乎情理的 
receipt  n. 收据 
receive  v. 收到，得到 
recent  a. 近来的，最近的 
reception  n. 接待 
receptionist  n. 接待员 
recipe   n.烹饪方法
recite  v. 背诵 
recognise  vt. 认出 
recommend  v. 推荐 
record  n. 记录； 唱片 
record  v. 录制，记录 
recorder  n. 录音机 
recover  vi. 痊愈； 恢复 
recreation  n.消遣，娱乐
recycle  vt. 回收； 再循环 
red  n. 红色 a.红色的 
reduce  vt. 减少，缩减 
refer  vi. 谈到，提到，涉及，有关 
reference  n.参考书，证书
reflect  v.反映，反射
reform  n.改革
refrigerator  n. 冰箱 
refuse  vi. 拒绝，不愿 
regard  v. 把……看作 
Regardless  a.不管，不顾
register  n. 登记簿， v. 登记，注册 
regret  n.& vt. 可惜，遗憾； 
regular  a. 规则的，经常 
regulation  n. 规则，规章 
reject  v. 拒绝 
relate  vi. 有关； 涉及 
relation  n. 关系； 亲属 
relationship  n. 关系 
relative  n. 亲属，亲戚 
relax  v. （使）放松，轻松 
relevant  a.有关的，相应的
Reliable  可信赖的，可依靠的
relief n.轻松,解脱,缓和,救济
religion  n. 宗教 
religious  a. 宗教的 
remain  vt. 余下，留下 vi. 保持，仍是 
remark  n. 陈述； 话； 议论 
remember  v. 记得，想起 
remind  vt. 提醒，使记起 
remote a. 偏远的，偏僻的
remove  vt. 移动，拿走，脱掉（衣服等） 
rent  n.& v. 租金 
repair  n.& vt. 修理；修补 
repeat  vt. 重说，重做 
replace  vt. 取代
reply  n. 回答，答复 
report   n.& v. 报道，报告 
reporter  n. 记者，新闻通讯员 
represent  vt. 代表 
representative  n.代表,典型人物
reputation  n. 名声，名誉 
republic  n. 共和国 
request  n. 请求，要求的事物 
require  vt. 需求； 要求 
requirement  n. 需要； 要求； 必要的条件 
rescue  vt. 营救，援救 
research  n. 研究，调查 
reservation  n. 预定 
reserve  n. & v. 储备；预定 
resist  v. 抵抗；挡开 
respect  vt.& n. 尊敬，尊重 
respond  v.回答,回应,作出反应
responsibility  n. 责任，负责
rest  n. 休息；剩余的部分
restaurant  n. 饭馆, 饭店 
restriction  n. 限制，约束
result  n. 结果，效果 
retell  vt. 重讲，重复，复述 
retire  v. 退休 
return  v. 归还
review  vt. 重新调查；复习 n. 复查；复习
revision  n. 复习，温习 
revolution  n. 革命，变革 
rice  n. 稻米；米饭 
rich  a. 富裕的，有钱的 
riddle  n. 谜(语) 
ride  v. 骑；乘车 
right  n. 权利 a. 对，正确的  a. 右边的 
ring  v. 响；打电话 n. 铃声
ring  n. 环形物（如环、圈、戒指等） 
ripe  a. 成熟的，熟的 
rise  vi. 上升，上涨 
river  n. 江；河；水道；巨流 
road  n. 路，道路 
roast  v. 烤（肉） 
rob  v. 抢夺，抢劫 
robot  n. 机器人 
rock  n. 岩石
rock vt. 摇，摇晃 
rocket  n. 火箭 
role  n. 角色 
roll  v. 滚动, 打滚 n. 面包圈 
roof  n. 屋顶，顶部 
root  n. 根，根源，起源 
rope  n. 绳，索 
rose  n. 玫瑰花 
rot  vi. 烂； 腐败 
rough  a. 粗糙的，粗略的 
round  ad. 转过来 prep. 围着 a.圆的；
routine  n. 常规,正常顺序,无聊
row  n. （一）排，（一）行 
row v. 划船 
rubber  n. 橡胶； 合成橡胶 
rubbish  n. 垃圾； 废物 
rude  a. 无理的, 粗鲁的 
ruin  vt. （使）毁坏； n. (复) 废墟；遗迹 
rule  n. 规则，规定 vt. 统治；支配 
ruler  n. 统治者；直尺 
run  vi. 跑，奔跑；（颜色）褪色 
runner  n. 赛跑者；操作者；滑行装置 
rush  vi. 冲，奔跑 
Russia  n. 俄罗斯，俄国 
Russian  a. 俄国人的， n. 俄国人，俄语 
sacred  a.神的，庄严的 
sacrifice  vt. 牺牲 
sad   a. （使人）悲伤的 
sadness  n. 悲哀，忧伤 
safe  a. 安全的 n. 保险柜 
safety  n. 安全，保险 
sail  n. 航行 v. 航行，开航 
sailing  n. 航海 
sailor  n. 水手，海员 
salary  n. 薪金，薪水 
sale  n. 卖，出售 
salesman  n. 男售货员 
saleswoman  n. 女售货员 
salt  n. 盐 
salty  a. 盐的，咸的，含盐的 
salute v .& n. 敬礼 
same  n. 同样的事 a同样的，同一的 
sand  n. 沙，沙子 
sandwich  n. 三明治（夹心面包片） 
satellite  n. 卫星 
satisfaction  n. 满意 
satisfy  vt. 满足，使满意 
Saturday  n. 星期六 
sausage  n. 香肠，腊肠 
save  vt. 救，挽救，节省 
scan  v. 略读，浏览，扫描
scar   n. 伤疤，伤痕
scare   v. 使害怕，使恐惧
say  vt. 说，讲 
saying  n. 说，俗话，谚语 
scarf  n. 领巾，围巾 
scene  n. （戏剧、电影等的）一场，场景
scenery   n. 风景，景色，风光
schedule   n. 工作计划，日程安排v.
school   n. 学校 
scholar   n. 学者 
scholarship  n. 奖学金  
schoolmate  n. 同校同学 
science  n. 科学，自然科学 
scientific  a. 科学的 
scientist   n. 科学家 
scold   vt. 责骂 
score   n.& v. 得分，分数 
scratch   v./ n. 划破，划痕
scream   n. 尖叫 
screen    n. 幕，荧光屏 
sculpture  n. 雕塑（术），雕像 
sea  n. 海，海洋 
seagull  n. 海鸥 
seal  n. 海豹 
seaman  n. 水手； 海员 
search  n.& v. 搜寻，搜查 
season  n. 季；季节 
seat  n. 座位，座 
second  n. 秒 
second  num. 第二 a.第二的 
secret  n. 秘密，内情 
secretary  n. 秘书；书记
section  n. 段，部分，部门 
secure   a.安心的的,有把握的,牢靠
security   n. 安全，平安
see  vt. 看见，看到；领会
seed  n. 种子 
seek  vt. 试图； 探寻 
seem  v. 似乎，好像 
seize  vt. 抓住(时机等) 
seldom a d. 很少，不常 
select  vt. 选择，挑选，选拔 
selfish  a. 自私的
sell   v. 卖，售 
send   v. 打发，派遣；送，邮寄 
senior  a. 年长的，高年级的 n 长辈，高年级生 
sense  n. 感觉，意识 
sensitive  a.体贴的,善解人意的 
sentence  n. 句子 
separate  v. 使分开，使分离a. 单独的 
separately  ad. 单独地，各自地
separation  n. 分离，隔离 
September  n. 9月 
serious  a. 严肃的，严重的；认真的 
servant  n. 仆人，佣人 
serve  vt. 招待（顾客等），服务 
service  n. 服务 
servicen.服务
charge  n. 小费 
set  n. 装备，设备 vt. 设置（布景，背景） 
set  vt. 释放，安置 
settle  vi. 安家，定居 
settlement  n. 新拓居地；（美）部落，村落 
settler  n. 移居者，开拓者 
seven  num. 七 
several  pron. 几个，数个 a. 若干 
severe  a.极为恶劣,十分严重的
sew vi. 缝, 
sex  n. 性，性别 
shabby  a. 破旧的，破烂的，衣衫褴褛的 
shade  n. 阴凉处，树荫处 
shadow  n. 影子, 阴影 
shake v. （使）动摇，震动 
shall    v.（表示将来）将要，
shallow  a. 浅的，不深的，肤浅的 
shame  n. 遗憾的事；羞愧 
shape  n. 形状，外形  
share  vt. 分享，共同使用 
sharp  a. 锋利的，尖的 
shave v. 刮（脸，胡子） 
she  pron. 她 
sheep  n. （绵）羊； 
sheet  n. 成幅的薄片，薄板 
shelf  n. 架子； 
shelter  n. 掩蔽；隐蔽处 
shine   n. 光泽；光彩； 
shine   v. 发光；照耀 
ship  n. 船，轮船 vi. 用船装运 
shirt  n. 男衬衫 
shock  vt. 使震惊 
shoe  n. 鞋 
shoot  n. 嫩枝； 苗； 芽 
shoot  vt. 射击，射中，发射 
shop  vi. 买东西 n. 商店，车间 
shore  n. 滨，岸 
short  a. 短的；矮的 
shortcoming   n. 缺点，短处 
shortly  ad. 不久 
shorts  n. 短裤；运动短裤 
shot  n. 射击，开枪，
should  v. mod. 应当，应该 
shoulder  n. 肩膀；（道路的）路肩 
shout  n.& v. 喊，高声呼喊 
show  n. 展示，展览（会）；演出 
show  v. 给……看，
shower  n. 阵雨； 淋浴 
shut  v. n. 关上，封闭；禁闭； 
shuttle（（火车、汽车、飞机）班车/机 
shy  a. 害羞的 
sick  a. 有病的，患病的；（想）呕吐 
sickness  n. 疾病 
side  n. 边，旁边，面，侧面 
sideways  ad. 斜向一边的 
sigh  vi. 叹息； 叹气 
sight  n. 情景，风景；视力 
sightseeing  n. 游览，观光 
sign  n. 符号，标记 
signal  n. 信号，暗号 
signature  n. 签名 
significance  n. 重要性，意义
silence  n. 安静，沉默 
silent   a. 无声的，无对话的 
silk   n. （蚕）丝，丝织品 
silly  a. 傻的，愚蠢的 
silver   n. 银 
similar   a. 相似的，像 
simple   a. 简单的，简易的 
simply   ad. 简单地，（加强语气）的确 
since   ad. 从那时以来 
sincerely  ad. 真诚地 
sing  v. 唱，唱歌 
singer   n. 歌唱家，歌手 
single   a. 单一的，单个的 
sink   n. 洗涤槽；污水槽 
sink  vi. 下沉； 消沉 
sir   n. 先生；阁下 
sister  n. 姐；妹 
sit  vi. 坐 
situation   n. 形势，情况 
six   num. 六 
size   n. 尺寸，大小 
skate   vi. 溜冰，滑冰 
skateboard   n. 冰鞋，滑板 
ski   n.& vi. 滑雪板；滑雪 
skill   n. 技能，技巧 
skin  n. 皮，皮肤；兽皮 
skip  v. 蹦蹦跳跳；跳绳 
skirt   n. 女裙 
sky   n. 天；天空 
skyscraper  n. 摩天楼 
slave   n. 奴隶 
slavery   n. 奴隶制度 
sleep   n. 睡觉 
sleep  vi. 睡觉 
sleeve   n. 袖子，袖套 
slice   n. 片，切面（薄）片 
slide   n. 幻灯片，滑道 v. 滑行，滑动 
slight   a. 轻微的，细小的
slightly   adv.轻微地，细小地
slim   a. 苗条的，纤细地
slip   n. 片，条，纸片，纸条 
slow   ad. 慢慢地，缓慢地 
small   a. 小的，少的 
smart   a. 灵巧的，伶俐的；
smell  v. 嗅，发气味 
smile  n.& v. 微笑 
smoke   n. 烟 v. 冒烟；吸烟  
smooth   a. 光滑的； 平坦的 
snake   n. 蛇 v. 蛇般爬行；蜿蜒行进 
sneaker   n. （复）轻便运动鞋（美） 
sneeze  v. 打喷嚏 
snow  n. 雪 vi. 下雪 
snowy  a. 雪(白)的；下雪的；
so  ad. 如此， conj. 因此，所以 
soap  n. 肥皂 
sob  n.& v. 抽泣，啜泣 
soccer   n.英式足球 
social  a. 社会的；社交的 
socialism  n. 社会主义 
society  n. 社会 
sock   n. 短袜 
sofa  n. （长）沙发 
soft  a. 软的，柔和的  
soil   n. 土壤，土地 
soldier  n. 士兵，战士 
solid  a. 结实的，固体的 n. 固体 
some  a. 一些，若干；有些；某一
somehow   adv.不知何故 
somebody   pron. 某人；有人；有名气的人 
someone   pron. 某一个人 
something   pron. 某事；某物 
sometimes   ad. 有时 
somewhere   ad. 在某处 
son   n. 儿子 
song   n. 歌唱；歌曲 
soon   ad. 不久，很快，一会儿 
sorrow   n. 悲伤，悲痛 
sorry   a. 对不起，抱歉；难过的 
sort   vt. 把……分类， n. 种类，类别
soul   n. 灵魂；心灵；气魄 
sound   vi. 听起来；发出声音n. 声音 
soup   n. 汤 
sour  a. 酸的，馊的 
south   a. 南(方)的；向南的
southern  a. 南部的，南方的 
sow vt. 播种 
space   n. 空间 
Spanish  a. 西班牙人的，
spare  a. 空闲的，多余的，剩余的 
speak  v. 说，讲； 
speaker   n. 演讲人，演说家 
specific  a.明确的,具体的,独特的 
special  a. 特别的，专门的 
specialist  n. （医学）专家， 
speech  n. 演讲 
speed  n. 速度 v. （使）加速 
spell   vt. 拼写 
spelling  n. 拼写，拼读 
spend  v. 度过；花费 
spirit   n. 精神 
splendid   a. 灿烂的，辉煌的；极好的 
split   v. 撕开； 切开 
spoken  a. 口语的 
spokesman  n. 发言人 
sponsor   n. 赞助者，赞助商 
spoonful  n. 一匙（的量） 
sport   n. 体育运动，锻炼；(复，英)运动会 
spot   n. 污点；场所 v. 沾上污渍，弄脏 
spread   v. 延伸； 展开 
spring  n. 春天，春季 
spring  n. 泉水，泉 
square  n. 广场 a. 平方的；方形的
squeeze   n. 挤压，v.压榨
stable  a. 稳固的，牢固的 
staff  n. 全体职工（雇员
stage  n. 舞台；阶段 
stair   n. 楼梯 
stamp  n. 邮票 
stand   n. 站；立；立场；地位；台；摊 
stand  v. 站；立； 
standard   n. & a. 标准（的） 
star   n. 星，恒星 
stare   vi. 盯，凝视 
start   v. 开始，着手；出发 
starve   v. 饿死 
state   n. 状态； 情形；国家，州 
statement  n.声明，陈诉，说法
statesman   n. 政治家
station   n. 站，所，车站；电台 
statistics  n. 统计数字，统计资料，统计学
stay  n.& vi. 停留，逗留，呆  
steal  vt. 偷, 窃取 
steam  n. 汽，水蒸气 
steel  n. 钢，钢铁 
steep  a. 险峻的； 陡峭的 
step  n. 脚步，台阶 vi. 走；
stick  vi. 粘住， 木棒（棍）
still  a.不动的，平静的 ad. 仍然，还 
stocking  n. 长统袜 
stomach  n. 胃，胃部 
stone  n. 石头，石料 
stop  n. 停；（停车）站 v. 停，停止，阻止 
storage  n. 贮藏； 储存 
store  n. 商店 vt. 储藏，存储 
storm  n. 风暴，暴（风）雨 
story  n. 故事，小说 
stove  n.火炉，煤炉，电炉 
straight  a. 一直的，直的 ad. 直地 
Straightforward  a.正直的，坦率的
strait  n. 海峡 
strange   a. 奇怪的，奇特的，陌生的 
stranger   n. 陌生人，外人 
straw  n. 稻草
strawberry  n. 草莓 
stream  n. 小河； 溪流 
street  n. 街，街道 
strength  n. 力量，力气 
stress  n. 精神压力，心理负担 v. 强调，重读 
strict  a. 严格的，严密的 
strike  v. （钟）鸣；敲（响）；罢工 
strike  vt. 擦（打）火, 侵袭 
string   n. 细绳，线，带 
strong   a. 强(壮)的；坚固的；坚强的 
struggle  vi. 斗争 
student  n. 学生 
studio   n. 工作室，演播室 
study  v. 学习；研究 n. 书房 
style  n. 方式，作风，款式 
stupid   a. 愚蠢的，笨的 
subject   n. 题目；主题 
subjective  a. 主观的
substitute  v. 代替，取代 
succeed   vi. 成功 
success   n. 成功 
successful  a. 成功的
such  ad. 那么 
sudden   a. 突然的 
suddenly  adv.突然
suffer  vi. 受苦，遭受 
suffering  n. 痛苦，苦难 
sugar  n. 糖 
suggest  vt. 建议，提议 
suggestion  n. 建议 
suit  vt. 适合 n. 一套（衣服） 
suite  n. 套间；组曲 
suitable  a. 合适的，适宜的 
suitcase  n. （旅行用）小提箱， 
summary  n. 摘要，概要 
summer  n. 夏天，夏季 
sun  n. 太阳，阳光 
sunburnt  a. 晒黑的 
Sunday  n. 星期日 
sunglasses  n. 太阳眼镜，墨镜 
sunlight  n. 日光，阳光 
sunny  a. 晴朗的；阳光充足的 
sunset   n. 日落(时分) 
sunshine   n. 阳光 
supermarket  n. 超级市场 
supper  n. 晚餐，晚饭 
superior  a. 较高的 n. 上级
supply  vt.& n. 供给，供应 
support   vt.& n. 支持，赞助 
suppose   vt. 猜想，假定，料想 
sure  a. 确信，肯定，一定，当然 
surface   n. 表面 
surgeon   n. 外科医生 
surprise  vt. 使惊奇 n. 惊奇，诧异 
surround   vt. 围绕； 包围
surrounding  a. 周围的 
survival  n. 存活，幸存
survive  v.生存，存活，幸免于难
suspect   n. 犯罪嫌疑人v.怀疑 
swallow  vt. 吞下；咽下   
swear v.诅咒，发誓
sweat  n. 汗，汗水 
sweater   n. 厚运动衫，毛衣 
sweep v. 扫除，扫 
sweet   n. 甜食；蜜饯；甜点； a.甜的 
swift   a. 快的，迅速的 
swim   n. 游泳，游 
swim  vi. 游泳，游 
swing   vt. 挥舞，摆动 n. 秋千  
sword   n. 剑，刀 
symbol  n. 象征
sympathy  n. 同情
symptom  n. 症状 
system   n. 体系； 系统 
table   n. 桌子，表格 
table tennis  n. 乒乓球 
tail   n. (动物的)尾巴 
tailor  n. 裁缝 
take  vt. 拿；拿走 
tale   n. 故事, 传说 
